file,dtype,min,max,mean,p0.5,p1,p50,p99,p99.5,spacing,size
LNDb-0046_ct.nii.gz,float32,0.0,1.0,0.35639673471450806,0.0,0.0,0.14071428775787354,1.0,1.0,"(1.0, 1.0, 1.0)","(381, 381, 328)"
LNDb-0048_ct.nii.gz,float32,0.0,1.0,0.3655737638473511,0.0,0.0,0.2685714364051819,1.0,1.0,"(1.0, 1.0, 1.0)","(365, 365, 316)"
LNDb-0050_ct.nii.gz,float32,0.0,1.0,0.3643456697463989,0.0,0.0,0.1599999964237213,1.0,1.0,"(1.0, 1.0, 1.0)","(268, 268, 333)"
LNDb-0051_ct.nii.gz,float32,0.0,1.0,0.33646923303604126,0.0,0.0,0.1314285695552826,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 287)"
LNDb-0052_ct.nii.gz,float32,0.0,1.0,0.3449673354625702,0.0,0.0,0.136428564786911,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 279)"
LNDb-0053_ct.nii.gz,float32,0.0,1.0,0.3267432451248169,0.0,0.0,0.11357142776250839,0.9521428346633911,1.0,"(1.0, 1.0, 1.0)","(452, 452, 328)"
LNDb-0055_ct.nii.gz,float32,0.0,1.0,0.3873111605644226,0.0,0.0,0.47999998927116394,0.9842857122421265,1.0,"(1.0, 1.0, 1.0)","(374, 374, 303)"
LNDb-0056_ct.nii.gz,float32,0.0,1.0,0.39101704955101013,0.0,0.0,0.5578571557998657,1.0,1.0,"(1.0, 1.0, 1.0)","(313, 313, 293)"
LNDb-0059_ct.nii.gz,float32,0.0,1.0,0.34561964869499207,0.0,0.0,0.13428571820259094,1.0,1.0,"(1.0, 1.0, 1.0)","(328, 328, 312)"
LNDb-0060_ct.nii.gz,float32,0.0,1.0,0.3812604248523712,0.0,0.0,0.36000001430511475,0.9971428513526917,1.0,"(1.0, 1.0, 1.0)","(361, 361, 367)"
LNDb-0061_ct.nii.gz,float32,0.0,1.0,0.3200722336769104,0.0,0.0,0.0949999988079071,1.0,1.0,"(1.0, 1.0, 1.0)","(344, 344, 362)"
LNDb-0062_ct.nii.gz,float32,0.0,1.0,0.4225122630596161,0.0,0.0,0.5964285731315613,0.9785714149475098,1.0,"(1.0, 1.0, 1.0)","(362, 362, 309)"
LNDb-0063_ct.nii.gz,float32,0.0,1.0,0.3188832998275757,0.0,0.0,0.09357143193483353,0.9657142758369446,1.0,"(1.0, 1.0, 1.0)","(422, 422, 347)"
LNDb-0064_ct.nii.gz,float32,0.0,1.0,0.3535635769367218,0.0,0.0,0.13214285671710968,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 352)"
LNDb-0065_ct.nii.gz,float32,0.0,1.0,0.3523137867450714,0.0,0.0,0.14071428775787354,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 328)"
LNDb-0066_ct.nii.gz,float32,0.0,1.0,0.3874876797199249,0.0,0.0,0.4814285635948181,1.0,1.0,"(1.0, 1.0, 1.0)","(366, 366, 276)"
LNDb-0067_ct.nii.gz,float32,0.0,1.0,0.39330995082855225,0.0,0.0,0.4814285635948181,1.0,1.0,"(1.0, 1.0, 1.0)","(361, 361, 333)"
LNDb-0068_ct.nii.gz,float32,0.0,1.0,0.2830398380756378,0.0,0.0,0.07214285433292389,1.0,1.0,"(1.0, 1.0, 1.0)","(337, 337, 333)"
LNDb-0069_ct.nii.gz,float32,0.0,1.0,0.2526540756225586,0.0,0.0,0.06928571313619614,1.0,1.0,"(1.0, 1.0, 1.0)","(304, 304, 293)"
LNDb-0070_ct.nii.gz,float32,0.0,1.0,0.3308384418487549,0.0,0.0,0.09642857313156128,1.0,1.0,"(1.0, 1.0, 1.0)","(272, 272, 327)"
LNDb-0071_ct.nii.gz,float32,0.0,1.0,0.3284592628479004,0.0,0.0,0.0949999988079071,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 375)"
LNDb-0072_ct.nii.gz,float32,0.0,1.0,0.22520820796489716,0.0,0.0,0.04571428522467613,0.979285717010498,1.0,"(1.0, 1.0, 1.0)","(378, 378, 316)"
LNDb-0073_ct.nii.gz,float32,0.0,1.0,0.22374333441257477,0.0,0.0,0.04500000178813934,0.9985714554786682,1.0,"(1.0, 1.0, 1.0)","(394, 394, 299)"
LNDb-0074_ct.nii.gz,float32,0.0,1.0,0.32630404829978943,0.0,0.0,0.09785714000463486,0.9814285635948181,1.0,"(1.0, 1.0, 1.0)","(374, 374, 368)"
LNDb-0075_ct.nii.gz,float32,0.0,1.0,0.3742174208164215,0.0,0.0,0.21071428060531616,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 328)"
LNDb-0076_ct.nii.gz,float32,0.0,1.0,0.2918180525302887,0.0,0.0,0.06071428582072258,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 362)"
LNDb-0077_ct.nii.gz,float32,0.0,1.0,0.36200523376464844,0.0,0.0,0.19571428000926971,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 278)"
LNDb-0078_ct.nii.gz,float32,0.0,1.0,0.30993494391441345,0.0,0.0,0.0892857164144516,0.9200000166893005,1.0,"(1.0, 1.0, 1.0)","(458, 458, 251)"
LNDb-0079_ct.nii.gz,float32,0.0,1.0,0.3186415731906891,0.0,0.0,0.09428571164608002,0.9778571724891663,1.0,"(1.0, 1.0, 1.0)","(375, 375, 318)"
LNDb-0080_ct.nii.gz,float32,0.0,1.0,0.2883084714412689,0.0,0.0,0.0771428570151329,1.0,1.0,"(1.0, 1.0, 1.0)","(356, 356, 313)"
LNDb-0081_ct.nii.gz,float32,0.0,1.0,0.40094074606895447,0.0,0.0,0.5464285612106323,1.0,1.0,"(1.0, 1.0, 1.0)","(320, 320, 328)"
LNDb-0082_ct.nii.gz,float32,0.0,1.0,0.3482944965362549,0.0,0.0,0.14499999582767487,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 296)"
LNDb-0083_ct.nii.gz,float32,0.0,1.0,0.380647212266922,0.0,0.0,0.2992857098579407,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 269)"
LNDb-0084_ct.nii.gz,float32,0.0,1.0,0.2688550055027008,0.0,0.0,0.06714285910129547,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 297)"
LNDb-0085_ct.nii.gz,float32,0.0,1.0,0.3373541831970215,0.0,0.0,0.12357142567634583,1.0,1.0,"(1.0, 1.0, 1.0)","(319, 319, 284)"
LNDb-0086_ct.nii.gz,float32,0.0,1.0,0.39348042011260986,0.0,0.0,0.5249999761581421,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 257)"
LNDb-0087_ct.nii.gz,float32,0.0,1.0,0.37487730383872986,0.0,0.0,0.20999999344348907,1.0,1.0,"(1.0, 1.0, 1.0)","(371, 371, 353)"
LNDb-0088_ct.nii.gz,float32,0.0,1.0,0.30889150500297546,0.0,0.0,0.08714285492897034,1.0,1.0,"(1.0, 1.0, 1.0)","(380, 380, 335)"
LNDb-0089_ct.nii.gz,float32,0.0,1.0,0.41464757919311523,0.0,0.0,0.5928571224212646,1.0,1.0,"(1.0, 1.0, 1.0)","(354, 354, 328)"
LNDb-0090_ct.nii.gz,float32,0.0,1.0,0.3107644319534302,0.0,0.0,0.08285713940858841,1.0,1.0,"(1.0, 1.0, 1.0)","(393, 393, 315)"
LNDb-0091_ct.nii.gz,float32,0.0,1.0,0.36632800102233887,0.0,0.0,0.2928571403026581,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 343)"
LNDb-0092_ct.nii.gz,float32,0.0,1.0,0.35708531737327576,0.0,0.0,0.17000000178813934,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 290)"
LNDb-0093_ct.nii.gz,float32,0.0,1.0,0.2899259626865387,0.0,0.0,0.06857142597436905,0.9571428298950195,1.0,"(1.0, 1.0, 1.0)","(373, 373, 313)"
LNDb-0094_ct.nii.gz,float32,0.0,1.0,0.32847103476524353,0.0,0.0,0.1007142886519432,1.0,1.0,"(1.0, 1.0, 1.0)","(353, 353, 320)"
LNDb-0095_ct.nii.gz,float32,0.0,1.0,0.3661554157733917,0.0,0.0,0.1721428632736206,1.0,1.0,"(1.0, 1.0, 1.0)","(340, 340, 314)"
LNDb-0096_ct.nii.gz,float32,0.0,1.0,0.3015402555465698,0.0,0.0,0.0892857164144516,1.0,1.0,"(1.0, 1.0, 1.0)","(312, 312, 315)"
LNDb-0097_ct.nii.gz,float32,0.0,1.0,0.36123278737068176,0.0,0.0,0.3085714280605316,0.9492856860160828,1.0,"(1.0, 1.0, 1.0)","(379, 379, 319)"
LNDb-0098_ct.nii.gz,float32,0.0,1.0,0.2471001148223877,0.0,0.0,0.06499999761581421,0.9921428561210632,1.0,"(1.0, 1.0, 1.0)","(340, 340, 365)"
LNDb-0099_ct.nii.gz,float32,0.0,1.0,0.4102417528629303,0.0,0.0,0.5685714483261108,1.0,1.0,"(1.0, 1.0, 1.0)","(363, 363, 351)"
LNDb-0100_ct.nii.gz,float32,0.0,1.0,0.3276510238647461,0.0,0.0,0.10999999940395355,0.991428554058075,1.0,"(1.0, 1.0, 1.0)","(329, 329, 323)"
LNDb-0101_ct.nii.gz,float32,0.0,1.0,0.35400405526161194,0.0,0.0,0.13785713911056519,1.0,1.0,"(1.0, 1.0, 1.0)","(351, 351, 344)"
LNDb-0102_ct.nii.gz,float32,0.0,1.0,0.29087594151496887,0.0,0.0,0.07642856985330582,1.0,1.0,"(1.0, 1.0, 1.0)","(358, 358, 335)"
LNDb-0103_ct.nii.gz,float32,0.0,1.0,0.3305772840976715,0.0,0.0,0.10571428388357162,1.0,1.0,"(1.0, 1.0, 1.0)","(380, 380, 353)"
LNDb-0104_ct.nii.gz,float32,0.0,1.0,0.3870396912097931,0.0,0.0,0.5428571701049805,0.9535714387893677,1.0,"(1.0, 1.0, 1.0)","(351, 351, 301)"
LNDb-0105_ct.nii.gz,float32,0.0,1.0,0.3650592267513275,0.0,0.0,0.18000000715255737,1.0,1.0,"(1.0, 1.0, 1.0)","(389, 313, 338)"
LNDb-0106_ct.nii.gz,float32,0.0,1.0,0.4036405384540558,0.0,0.0,0.572857141494751,1.0,1.0,"(1.0, 1.0, 1.0)","(302, 302, 314)"
LNDb-0107_ct.nii.gz,float32,0.0,1.0,0.27500733733177185,0.0,0.0,0.06785714626312256,0.9742857217788696,1.0,"(1.0, 1.0, 1.0)","(354, 354, 329)"
LNDb-0108_ct.nii.gz,float32,0.0,1.0,0.3743196725845337,0.0,0.0,0.3449999988079071,1.0,1.0,"(1.0, 1.0, 1.0)","(326, 326, 314)"
LNDb-0109_ct.nii.gz,float32,0.0,1.0,0.29391977190971375,0.0,0.0,0.05714285746216774,1.0,1.0,"(1.0, 1.0, 1.0)","(348, 348, 345)"
LNDb-0110_ct.nii.gz,float32,0.0,1.0,0.3693886697292328,0.0,0.0,0.4714285731315613,1.0,1.0,"(1.0, 1.0, 1.0)","(367, 367, 306)"
LNDb-0112_ct.nii.gz,float32,0.0,1.0,0.35750889778137207,0.0,0.0,0.16285714507102966,1.0,1.0,"(1.0, 1.0, 1.0)","(380, 380, 306)"
LNDb-0113_ct.nii.gz,float32,0.0,1.0,0.3383057117462158,0.0,0.0,0.11357142776250839,1.0,1.0,"(1.0, 1.0, 1.0)","(387, 387, 344)"
LNDb-0114_ct.nii.gz,float32,0.0,1.0,0.45390784740448,0.0,0.0,0.6342856884002686,1.0,1.0,"(1.0, 1.0, 1.0)","(387, 333, 341)"
LNDb-0115_ct.nii.gz,float32,0.0,1.0,0.40122300386428833,0.0,0.0,0.5964285731315613,1.0,1.0,"(1.0, 1.0, 1.0)","(319, 319, 296)"
LNDb-0117_ct.nii.gz,float32,0.0,1.0,0.32490190863609314,0.0,0.0,0.08071428537368774,1.0,1.0,"(1.0, 1.0, 1.0)","(330, 330, 295)"
LNDb-0118_ct.nii.gz,float32,0.0,1.0,0.38661500811576843,0.0,0.0,0.46857142448425293,1.0,1.0,"(1.0, 1.0, 1.0)","(364, 364, 340)"
LNDb-0119_ct.nii.gz,float32,0.0,1.0,0.345295250415802,0.0,0.0,0.11071428656578064,1.0,1.0,"(1.0, 1.0, 1.0)","(344, 274, 315)"
LNDb-0121_ct.nii.gz,float32,0.0,1.0,0.4107171595096588,0.0,0.0,0.6035714149475098,0.9649999737739563,1.0,"(1.0, 1.0, 1.0)","(403, 370, 356)"
LNDb-0122_ct.nii.gz,float32,0.0,1.0,0.35345643758773804,0.0,0.0,0.13214285671710968,1.0,1.0,"(1.0, 1.0, 1.0)","(413, 413, 351)"
LNDb-0124_ct.nii.gz,float32,0.0,1.0,0.37355485558509827,0.0,0.0,0.28928571939468384,1.0,1.0,"(1.0, 1.0, 1.0)","(364, 364, 327)"
LNDb-0131_ct.nii.gz,float32,0.0,1.0,0.3386528789997101,0.0,0.0,0.11428571492433548,1.0,1.0,"(1.0, 1.0, 1.0)","(402, 402, 317)"
LNDb-0133_ct.nii.gz,float32,0.0,1.0,0.30750519037246704,0.0,0.0,0.08071428537368774,1.0,1.0,"(1.0, 1.0, 1.0)","(320, 320, 340)"
LNDb-0136_ct.nii.gz,float32,0.0,1.0,0.40122148394584656,0.0,0.0,0.6092857122421265,1.0,1.0,"(1.0, 1.0, 1.0)","(452, 365, 345)"
LNDb-0139_ct.nii.gz,float32,0.0,1.0,0.4119564890861511,0.0,0.0,0.6128571629524231,1.0,1.0,"(1.0, 1.0, 1.0)","(385, 274, 285)"
LNDb-0142_ct.nii.gz,float32,0.0,1.0,0.3932340145111084,0.0,0.0,0.5835714340209961,1.0,1.0,"(1.0, 1.0, 1.0)","(362, 320, 325)"
LNDb-0143_ct.nii.gz,float32,0.0,1.0,0.39589884877204895,0.0,0.0,0.579285740852356,1.0,1.0,"(1.0, 1.0, 1.0)","(357, 301, 302)"
LNDb-0144_ct.nii.gz,float32,0.0,1.0,0.38616177439689636,0.0,0.0,0.5164285898208618,1.0,1.0,"(1.0, 1.0, 1.0)","(380, 315, 340)"
LNDb-0146_ct.nii.gz,float32,0.0,1.0,0.3263743817806244,0.0,0.0,0.10571428388357162,0.9978571534156799,1.0,"(1.0, 1.0, 1.0)","(383, 383, 323)"
LNDb-0148_ct.nii.gz,float32,0.0,1.0,0.3834991753101349,0.0,0.0,0.5657142996788025,1.0,1.0,"(1.0, 1.0, 1.0)","(392, 312, 324)"
LNDb-0151_ct.nii.gz,float32,0.0,1.0,0.39542123675346375,0.0,0.0,0.5392857193946838,1.0,1.0,"(1.0, 1.0, 1.0)","(297, 297, 326)"
LNDb-0152_ct.nii.gz,float32,0.0,1.0,0.39491936564445496,0.0,0.0,0.27142858505249023,1.0,1.0,"(1.0, 1.0, 1.0)","(360, 248, 281)"
LNDb-0153_ct.nii.gz,float32,0.0,1.0,0.3913155496120453,0.0,0.0,0.5842857360839844,1.0,1.0,"(1.0, 1.0, 1.0)","(379, 295, 287)"
LNDb-0154_ct.nii.gz,float32,0.0,1.0,0.4318443238735199,0.0,0.0,0.6207143068313599,1.0,1.0,"(1.0, 1.0, 1.0)","(345, 307, 297)"
LNDb-0157_ct.nii.gz,float32,0.0,1.0,0.4040271043777466,0.0,0.0,0.5942857265472412,1.0,1.0,"(1.0, 1.0, 1.0)","(355, 287, 256)"
LNDb-0158_ct.nii.gz,float32,0.0,1.0,0.3388388752937317,0.0,0.0,0.09714286029338837,1.0,1.0,"(1.0, 1.0, 1.0)","(320, 299, 317)"
LNDb-0159_ct.nii.gz,float32,0.0,1.0,0.4290331304073334,0.0,0.0,0.616428554058075,1.0,1.0,"(1.0, 1.0, 1.0)","(365, 312, 298)"
LNDb-0161_ct.nii.gz,float32,0.0,1.0,0.39949190616607666,0.0,0.0,0.5607143044471741,1.0,1.0,"(1.0, 1.0, 1.0)","(309, 309, 255)"
LNDb-0162_ct.nii.gz,float32,0.0,1.0,0.3005791902542114,0.0,0.0,0.09071428328752518,1.0,1.0,"(1.0, 1.0, 1.0)","(294, 294, 311)"
LNDb-0163_ct.nii.gz,float32,0.0,1.0,0.4148258864879608,0.0,0.0,0.6107142567634583,1.0,1.0,"(1.0, 1.0, 1.0)","(345, 273, 312)"
LNDb-0164_ct.nii.gz,float32,0.0,1.0,0.2828579246997833,0.0,0.0,0.09000000357627869,1.0,1.0,"(1.0, 1.0, 1.0)","(332, 332, 373)"
LNDb-0165_ct.nii.gz,float32,0.0,1.0,0.3919559121131897,0.0,0.0,0.5928571224212646,1.0,1.0,"(1.0, 1.0, 1.0)","(352, 291, 320)"
LNDb-0167_ct.nii.gz,float32,0.0,1.0,0.3195759654045105,0.0,0.0,0.09428571164608002,1.0,1.0,"(1.0, 1.0, 1.0)","(327, 327, 332)"
LNDb-0168_ct.nii.gz,float32,0.0,1.0,0.37955525517463684,0.0,0.0,0.4528571367263794,1.0,1.0,"(1.0, 1.0, 1.0)","(373, 319, 309)"
LNDb-0169_ct.nii.gz,float32,0.0,1.0,0.3433271646499634,0.0,0.0,0.1550000011920929,0.9821428656578064,1.0,"(1.0, 1.0, 1.0)","(402, 402, 298)"
LNDb-0171_ct.nii.gz,float32,0.0,1.0,0.37875211238861084,0.0,0.0,0.5678571462631226,0.9464285969734192,1.0,"(1.0, 1.0, 1.0)","(368, 324, 313)"
LNDb-0174_ct.nii.gz,float32,0.0,1.0,0.4214552044868469,0.0,0.0,0.6142857074737549,1.0,1.0,"(1.0, 1.0, 1.0)","(340, 283, 313)"
LNDb-0175_ct.nii.gz,float32,0.0,1.0,0.39283356070518494,0.0,0.0,0.26357144117355347,1.0,1.0,"(1.0, 1.0, 1.0)","(289, 249, 303)"
LNDb-0180_ct.nii.gz,float32,0.0,1.0,0.4182979166507721,0.0,0.0,0.6128571629524231,1.0,1.0,"(1.0, 1.0, 1.0)","(400, 310, 349)"
LNDb-0181_ct.nii.gz,float32,0.0,1.0,0.39949190616607666,0.0,0.0,0.5607143044471741,1.0,1.0,"(1.0, 1.0, 1.0)","(309, 309, 255)"
LNDb-0182_ct.nii.gz,float32,0.0,1.0,0.3005791902542114,0.0,0.0,0.09071428328752518,1.0,1.0,"(1.0, 1.0, 1.0)","(294, 294, 311)"
LNDb-0183_ct.nii.gz,float32,0.0,1.0,0.4148258864879608,0.0,0.0,0.6107142567634583,1.0,1.0,"(1.0, 1.0, 1.0)","(345, 273, 312)"
LNDb-0184_ct.nii.gz,float32,0.0,1.0,0.2828579246997833,0.0,0.0,0.09000000357627869,1.0,1.0,"(1.0, 1.0, 1.0)","(332, 332, 373)"
LNDb-0185_ct.nii.gz,float32,0.0,1.0,0.3919559121131897,0.0,0.0,0.5928571224212646,1.0,1.0,"(1.0, 1.0, 1.0)","(352, 291, 320)"
LNDb-0188_ct.nii.gz,float32,0.0,1.0,0.37955525517463684,0.0,0.0,0.4528571367263794,1.0,1.0,"(1.0, 1.0, 1.0)","(373, 319, 309)"
LNDb-0190_ct.nii.gz,float32,0.0,1.0,0.3115261495113373,0.0,0.0,0.08642856776714325,0.9700000286102295,1.0,"(1.0, 1.0, 1.0)","(402, 402, 317)"
LNDb-0195_ct.nii.gz,float32,0.0,1.0,0.39283356070518494,0.0,0.0,0.26357144117355347,1.0,1.0,"(1.0, 1.0, 1.0)","(289, 249, 303)"
LNDb-0198_ct.nii.gz,float32,0.0,1.0,0.47419869899749756,0.0,0.0,0.6514285802841187,1.0,1.0,"(1.0, 1.0, 1.0)","(306, 276, 265)"
LNDb-0200_ct.nii.gz,float32,0.0,1.0,0.30221420526504517,0.0,0.0,0.08500000089406967,0.9721428751945496,1.0,"(1.0, 1.0, 1.0)","(354, 354, 333)"
LNDb-0208_ct.nii.gz,float32,0.0,1.0,0.42592906951904297,0.0,0.0,0.5964285731315613,0.9964285492897034,1.0,"(1.0, 1.0, 1.0)","(305, 305, 287)"
LNDb-0210_ct.nii.gz,float32,0.0,1.0,0.42571526765823364,0.0,0.0,0.6171428561210632,1.0,1.0,"(1.0, 1.0, 1.0)","(365, 317, 284)"
LNDb-0212_ct.nii.gz,float32,0.0,1.0,0.406156986951828,0.0,0.0,0.5564285516738892,1.0,1.0,"(1.0, 1.0, 1.0)","(387, 250, 353)"
LNDb-0213_ct.nii.gz,float32,0.0,1.0,0.4193262755870819,0.0,0.0,0.6157143115997314,1.0,1.0,"(1.0, 1.0, 1.0)","(367, 289, 340)"
LNDb-0215_ct.nii.gz,float32,0.0,1.0,0.4138151705265045,0.0,0.0,0.6078571677207947,1.0,1.0,"(1.0, 1.0, 1.0)","(324, 282, 292)"
LNDb-0218_ct.nii.gz,float32,0.0,1.0,0.44273027777671814,0.0,0.0,0.6235714554786682,1.0,1.0,"(1.0, 1.0, 1.0)","(343, 275, 321)"
LNDb-0222_ct.nii.gz,float32,0.0,1.0,0.39985308051109314,0.0,0.0,0.5921428799629211,1.0,1.0,"(1.0, 1.0, 1.0)","(347, 248, 340)"
LNDb-0225_ct.nii.gz,float32,0.0,1.0,0.47090911865234375,0.0,0.0,0.6349999904632568,1.0,1.0,"(1.0, 1.0, 1.0)","(331, 254, 276)"
LNDb-0226_ct.nii.gz,float32,0.0,1.0,0.47090911865234375,0.0,0.0,0.6349999904632568,1.0,1.0,"(1.0, 1.0, 1.0)","(331, 254, 276)"
LNDb-0227_ct.nii.gz,float32,0.0,1.0,0.4746688902378082,0.0,0.0,0.6349999904632568,1.0,1.0,"(1.0, 1.0, 1.0)","(353, 274, 277)"
LNDb-0229_ct.nii.gz,float32,0.0,1.0,0.45185890793800354,0.0,0.0,0.6285714507102966,1.0,1.0,"(1.0, 1.0, 1.0)","(319, 262, 281)"
LNDb-0230_ct.nii.gz,float32,0.0,1.0,0.3786778748035431,0.0,0.0,0.24071428179740906,1.0,1.0,"(1.0, 1.0, 1.0)","(363, 299, 356)"
LNDb-0231_ct.nii.gz,float32,0.0,1.0,0.4300251007080078,0.0,0.0,0.6178571581840515,1.0,1.0,"(1.0, 1.0, 1.0)","(349, 276, 260)"
LNDb-0232_ct.nii.gz,float32,0.0,1.0,0.42903953790664673,0.0,0.0,0.6257143020629883,0.9950000047683716,1.0,"(1.0, 1.0, 1.0)","(386, 308, 290)"
LNDb-0237_ct.nii.gz,float32,0.0,1.0,0.42232823371887207,0.0,0.0,0.6285714507102966,1.0,1.0,"(1.0, 1.0, 1.0)","(372, 259, 366)"
LNDb-0240_ct.nii.gz,float32,0.0,1.0,0.46582624316215515,0.0,0.0,0.631428599357605,1.0,1.0,"(1.0, 1.0, 1.0)","(340, 300, 292)"
LNDb-0243_ct.nii.gz,float32,0.0,1.0,0.461251825094223,0.0,0.0,0.631428599357605,0.9664285778999329,1.0,"(1.0, 1.0, 1.0)","(356, 335, 332)"
LNDb-0246_ct.nii.gz,float32,0.0,1.0,0.34016790986061096,0.0,0.0,0.09214285761117935,1.0,1.0,"(1.0, 1.0, 1.0)","(319, 295, 340)"
